
==========================================================================================
[2026-01-25T12:24:21] START trial=107 seed=20263121
CMD: C:\Users\stewe67\PycharmProjects\FilteredTest\.venv\Scripts\python.exe C:\Users\stewe67\PycharmProjects\FilteredTest\main.py --dataset C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\dataset_2026-01-13_masked.npy --mask C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\mask_2026-01-13_masked.npy --assets C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\assets_2026-01-13.txt --dates C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\dates_2026-01-13.txt --features C:\Users\stewe67\PycharmProjects\FilteredTest\dataset\features_2026-01-13.json --cfg C:\Users\stewe67\PycharmProjects\FilteredTest\runs_tcn_sweep_robust\sweep\trial_0107\cfg.json --outdir C:\Users\stewe67\PycharmProjects\FilteredTest\runs_full_trial107_seed20263121 --epochs 120 --seed 20263121 --max_anchors_val 0 --early_stop_min_epochs 30 --early_stop_patience 20
[INFO] 2026-01-25 12:24:29,415 - device=cuda
[INFO] loaded cube: A=2395, T=7000, F=25
[INFO] time split: train=[0,4899] val=[4900,5949] test=[5950,6999]
[INFO] date ranges: train 1999-01-04..2017-10-13 | val 2017-10-16..2021-10-22 | test 2021-10-25..2025-10-31
[INFO] applied masked standardization using train-only statistics
[INFO] asset_keep: 2395/2395 assets remain after mask-only filter
[INFO] samples: train=800000 val=1615532 test=1617230
[INFO] 2026-01-25 12:25:09,797 - training start
[INFO] 2026-01-25 12:25:12,590 - E001 S00001/00782 loss=0.727317 ema=0.727317 y_mean=0.514 lr=5.000e-04 step/s=0.36
[INFO] 2026-01-25 12:25:39,325 - E001 S00100/00782 loss=0.691892 ema=0.693067 y_mean=0.527 lr=5.000e-04 step/s=3.39
[INFO] 2026-01-25 12:26:05,233 - E001 S00200/00782 loss=0.695468 ema=0.691003 y_mean=0.538 lr=5.000e-04 step/s=3.61
[INFO] 2026-01-25 12:26:32,331 - E001 S00300/00782 loss=0.691248 ema=0.690699 y_mean=0.515 lr=5.000e-04 step/s=3.63
[INFO] 2026-01-25 12:26:59,032 - E001 S00400/00782 loss=0.692085 ema=0.690438 y_mean=0.523 lr=5.000e-04 step/s=3.66
[INFO] 2026-01-25 12:27:26,155 - E001 S00500/00782 loss=0.687978 ema=0.690354 y_mean=0.525 lr=5.000e-04 step/s=3.67
[INFO] 2026-01-25 12:27:53,678 - E001 S00600/00782 loss=0.700946 ema=0.689542 y_mean=0.495 lr=5.000e-04 step/s=3.66
[INFO] 2026-01-25 12:28:20,086 - E001 S00700/00782 loss=0.687176 ema=0.689425 y_mean=0.520 lr=5.000e-04 step/s=3.68
[INFO] 2026-01-25 12:37:27,088 - [VAL] thr=0.592 trades=256 avg_rnet=0.033909 winrate=0.766
[INFO] 2026-01-25 12:37:27,088 - E001 DONE train_loss=0.692204 val_bce=0.691956 val_acc@0.5=0.5218 n_val=1615532 epoch_time_s=737.3
[INFO] 2026-01-25 12:37:27,148 - [CKPT] saved best_model.pt (best_val_avg_rnet=0.033909, trades=256, thr=0.592)
[INFO] 2026-01-25 12:37:27,584 - E002 S00001/00782 loss=0.691948 ema=0.691948 y_mean=0.508 lr=4.999e-04 step/s=2.29
[INFO] 2026-01-25 12:37:55,901 - E002 S00100/00782 loss=0.690516 ema=0.688182 y_mean=0.510 lr=4.999e-04 step/s=3.48
[INFO] 2026-01-25 12:38:25,030 - E002 S00200/00782 loss=0.687657 ema=0.688983 y_mean=0.509 lr=4.999e-04 step/s=3.46
[INFO] 2026-01-25 12:38:51,968 - E002 S00300/00782 loss=0.689874 ema=0.688404 y_mean=0.525 lr=4.999e-04 step/s=3.54
[INFO] 2026-01-25 12:39:18,702 - E002 S00400/00782 loss=0.690143 ema=0.685961 y_mean=0.537 lr=4.999e-04 step/s=3.59
[INFO] 2026-01-25 12:39:45,685 - E002 S00500/00782 loss=0.695690 ema=0.686985 y_mean=0.501 lr=4.999e-04 step/s=3.61
[INFO] 2026-01-25 12:40:12,581 - E002 S00600/00782 loss=0.681808 ema=0.686053 y_mean=0.502 lr=4.999e-04 step/s=3.63
[INFO] 2026-01-25 12:40:39,314 - E002 S00700/00782 loss=0.683582 ema=0.685922 y_mean=0.528 lr=4.999e-04 step/s=3.64
